Township Name,Sale Date,Sale Price,Land Square Feet,Age,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Central Air Conditioning,Fireplaces,Attic Type,Full Baths,Half Baths,Design Plan,Cathedral Ceiling,Garage Size,Garage 1 Material,Building Square Feet,Use,Type of Residence,Tract Median Income,Land Acre,Sale Year,Sale Month
North Chicago,12/30/2019,3212.5,3125,3,Masonry,Tar + Gravel,12,6,Full,Formal Rec Room,Warm Air Furnace,Central A/C,4,None,4,2,Stock Plan,No,2,Masonry,3.914,Single-Family,3 Story +,132.222,0.071740129,2019,12
North Chicago,1/10/2020,473,1166,21,Masonry,Shingle + Asphalt,5,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,1,Masonry,1.422,Single-Family,3 Story +,99.44,0.026767677,2020,1
North Chicago,1/10/2020,601,885,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.692,Single-Family,3 Story +,99.44,0.020316804,2020,1
North Chicago,1/10/2020,950,1087,42,Masonry,Shingle + Asphalt,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,,1,Masonry,2.624,Single-Family,3 Story +,83.806,0.024954086,2020,1
North Chicago,1/10/2020,1240,1674,21,Masonry,Tar + Gravel,11,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,2,Masonry,1.862,Single-Family,3 Story +,148.616,0.038429752,2020,1
North Chicago,1/10/2020,1625,3125,18,Masonry,Tar + Gravel,10,5,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,No,2,Masonry,3.36,Single-Family,3 Story +,119.432,0.071740129,2020,1
North Chicago,1/11/2020,750,1392,48,Masonry,Tar + Gravel,6,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,0,,1.254,Single-Family,2 Story,112.788,0.031955923,2020,1
North Chicago,1/11/2020,825,2056,6,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,No,2,Masonry,2.134,Single-Family,2 Story,58.542,0.047199265,2020,1
North Chicago,1/11/2020,1539,3000,30,Masonry,Shingle + Asphalt,8,4,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,1,Architect,,2,Masonry,3.2,Single-Family,2 Story,148.616,0.068870523,2020,1
North Chicago,1/12/2020,555,930,21,Masonry,Tar + Gravel,6,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.52,Single-Family,3 Story +,148.616,0.021349862,2020,1
North Chicago,1/12/2020,1650,3120,33,Masonry,Shingle + Asphalt,5,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,3,1,Stock Plan,,2.5,Masonry,2.83,Single-Family,2 Story,141.806,0.071625344,2020,1
North Chicago,2/20/2020,422.5,1428,48,Masonry,Tar + Gravel,5,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,1.092,Single-Family,2 Story,112.788,0.032782369,2020,2
North Chicago,2/20/2020,899.999,957,17,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,2.379,Single-Family,3 Story +,122.479,0.021969697,2020,2
North Chicago,2/20/2020,1025,2928,24,Masonry,Shingle + Asphalt,7,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,Partial,2,1,Stock Plan,No,2,Masonry,3.239,Single-Family,2 Story,36.927,0.067217631,2020,2
North Chicago,2/20/2020,1050,1414,42,Masonry,Shingle + Asphalt,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,,1,Masonry,3.824,Single-Family,3 Story +,83.806,0.032460973,2020,2
North Chicago,2/20/2020,2650,3144,21,Masonry,Shingle + Asphalt,9,4,Full,Unfinished,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,No,2,Masonry,5.225,Single-Family,3 Story +,141.806,0.072176309,2020,2
North Chicago,2/21/2020,1160,1582,24,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,,2,Masonry,2.799,Single-Family,3 Story +,121.318,0.036317723,2020,2
North Chicago,2/21/2020,5450,2220,6,Masonry,Tar + Gravel,12,6,Full,Formal Rec Room,Warm Air Furnace,Central A/C,4,None,5,2,Stock Plan,No,2.5,Masonry,5.514,Single-Family,3 Story +,133.079,0.050964187,2020,2
North Chicago,2/22/2020,585,684,23,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,1,Masonry,1.826,Single-Family,3 Story +,36.927,0.015702479,2020,2
North Chicago,2/22/2020,587,1207,54,Masonry,Shingle + Asphalt,6,3,Crawl,Unfinished,Warm Air Furnace,Central A/C,2,None,2,1,Stock Plan,No,0,,1.566,Single-Family,3 Story +,142.583,0.027708907,2020,2
North Chicago,2/22/2020,737.5,775,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.692,Single-Family,3 Story +,99.44,0.017791552,2020,2
North Chicago,3/9/2020,730,2349,35,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,,1,Frame,1.484,Single-Family,2 Story,141.806,0.05392562,2020,3
North Chicago,3/13/2020,615,1156,31,Masonry,Tar + Gravel,7,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,0,None,1,1,Stock Plan,No,1,Frame,1.397,Single-Family,2 Story,148.616,0.026538108,2020,3
North Chicago,3/17/2020,593.5,682,23,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,1,Masonry,1.826,Single-Family,3 Story +,36.927,0.015656566,2020,3
North Chicago,3/31/2020,1690,2400,26,Masonry,Tar + Gravel,8,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,No,2,Masonry,3.09,Single-Family,3 Story +,148.616,0.055096419,2020,3
North Chicago,4/16/2020,435,756,49,Frame + Masonry,Shingle + Asphalt,5,2,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,0,,0.859,Single-Family,2 Story,142.583,0.017355372,2020,4
North Chicago,4/20/2020,430,764,49,Masonry,Tar + Gravel,4,2,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,0,,0.735,Single-Family,2 Story,142.583,0.017539027,2020,4
North Chicago,4/21/2020,1500,1582,24,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,,2,Masonry,2.799,Single-Family,3 Story +,121.318,0.036317723,2020,4
North Chicago,5/1/2020,800,1629,45,Frame + Masonry,Shingle + Asphalt,5,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,Partial,2,0,Stock Plan,No,1,Frame,1.188,Single-Family,2 Story,112.788,0.037396694,2020,5
North Chicago,5/4/2020,782,1323,33,Masonry,Tar + Gravel,6,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,0,Stock Plan,No,1,Masonry,1.644,Single-Family,2 Story,132.222,0.030371901,2020,5
North Chicago,5/6/2020,1150,3536,30,Frame,Shingle + Asphalt,6,3,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,0,,1.568,Single-Family,2 Story,132.222,0.08117539,2020,5
North Chicago,5/29/2020,900,1211,51,Masonry,Tar + Gravel,7,4,Partial,Unfinished,Warm Air Furnace,No Central A/C,0,None,2,0,Stock Plan,No,0,,1.518,Single-Family,2 Story,112.788,0.027800735,2020,5
North Chicago,6/4/2020,562.5,871,24,Masonry,Tar + Gravel,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,0,Stock Plan,,1.5,Masonry,1.965,Single-Family,3 Story +,121.318,0.019995409,2020,6
North Chicago,6/8/2020,1228.8,1214,33,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,1.5,Masonry,2.349,Single-Family,3 Story +,83.806,0.027869605,2020,6
North Chicago,6/19/2020,360,1093,48,Masonry,Tar + Gravel,4,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,0.864,Single-Family,2 Story,109.191,0.025091827,2020,6
North Chicago,6/19/2020,1800,4928,21,Masonry,Tar + Gravel,9,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,No,2,Masonry,3.82,Single-Family,2 Story,132.222,0.113131313,2020,6
North Chicago,6/24/2020,857,1307,21,Masonry,Shingle + Asphalt,6,2,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,1,Masonry,1.583,Single-Family,2 Story,122.479,0.030004591,2020,6
North Chicago,6/25/2020,1500,4222,37,Masonry,Tar + Gravel,8,4,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,Yes,2,Masonry,2.998,Single-Family,2 Story,142.583,0.096923783,2020,6
North Chicago,6/26/2020,3190,3000,6,Masonry,Tar + Gravel,9,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,4,None,4,2,Stock Plan,No,2,Masonry,3.701,Single-Family,3 Story +,148.616,0.068870523,2020,6
North Chicago,7/1/2020,780,1278,6,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,No,2,Masonry,2.134,Single-Family,2 Story,58.542,0.029338843,2020,7
North Chicago,7/7/2020,950,1287,33,Masonry,Shingle + Asphalt,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,,2,Masonry,2.4,Single-Family,3 Story +,83.806,0.029545455,2020,7
North Chicago,7/9/2020,3415.428,3100,3,Masonry,Shingle + Asphalt,10,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,5,1,Stock Plan,No,2,Masonry,4.235,Single-Family,3 Story +,138.934,0.071166208,2020,7
North Chicago,7/13/2020,1090,2697,32,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Frame,3.028,Single-Family,3 Story +,148.616,0.061914601,2020,7
North Chicago,7/16/2020,6500,6601,6,Masonry,Other,7,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,No,4,Masonry,5.838,Single-Family,2 Story,138.934,0.151538108,2020,7
North Chicago,7/17/2020,645,611,27,Masonry,Tar + Gravel,4,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,,2,Masonry,1.496,Single-Family,3 Story +,148.616,0.01402663,2020,7
North Chicago,7/28/2020,1100,4500,41,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,3,Frame,4.178,Single-Family,3 Story +,94.598,0.103305785,2020,7
North Chicago,8/3/2020,1412.5,1442,24,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,,2,Masonry,2.799,Single-Family,3 Story +,121.318,0.033103765,2020,8
North Chicago,8/4/2020,529,993,52,Masonry,Tar + Gravel,5,2,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,,0,,1.088,Single-Family,2 Story,112.788,0.022796143,2020,8
North Chicago,8/4/2020,930,3069,17,Frame,Shingle + Asphalt,8,4,Full,Unfinished,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,2,Frame,2.07,Single-Family,2 Story,99.44,0.070454545,2020,8
North Chicago,8/4/2020,2390,1830,29,Masonry,Shingle + Asphalt,10,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,4,1,Stock Plan,No,2,Masonry,4.393,Single-Family,3 Story +,60.566,0.042011019,2020,8
North Chicago,8/5/2020,2100,3200,15,Masonry,Tar + Gravel,9,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,4,1,Stock Plan,No,2,Masonry,3.88,Single-Family,3 Story +,132.222,0.073461892,2020,8
North Chicago,8/6/2020,1100,3870,27,Masonry,Tar + Gravel,6,3,Crawl,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,1,Frame,2.382,Single-Family,2 Story,132.222,0.088842975,2020,8
North Chicago,8/11/2020,484,924,47,Masonry,Tar + Gravel,3,1,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,1,0,Stock Plan,,0,,0.936,Single-Family,2 Story,162.054,0.021212121,2020,8
North Chicago,8/14/2020,626,762,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.692,Single-Family,3 Story +,99.44,0.017493113,2020,8
North Chicago,8/14/2020,1200,3402,27,Masonry,Tar + Gravel,11,5,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,0,None,4,1,Stock Plan,No,2,Masonry,5.019,Single-Family,3 Story +,141.806,0.078099174,2020,8
North Chicago,8/21/2020,1350,3100,32,Masonry,Shingle + Asphalt,8,3,Partial,Unfinished,Warm Air Furnace,Central A/C,1,None,3,0,Stock Plan,No,2,Masonry,3.018,Single-Family,2 Story,138.934,0.071166208,2020,8
North Chicago,8/27/2020,860,1318,22,Masonry,Shingle + Asphalt,6,2,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,2,Stock Plan,No,1,Masonry,1.583,Single-Family,2 Story,122.479,0.030257117,2020,8
North Chicago,8/28/2020,1125,590,42,Masonry,Shingle + Asphalt,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,,1,Masonry,3.824,Single-Family,3 Story +,83.806,0.013544536,2020,8
North Chicago,8/31/2020,907.5,1321,21,Masonry,Shingle + Asphalt,6,2,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,1,Masonry,1.57,Single-Family,2 Story,122.479,0.030325987,2020,8
North Chicago,9/3/2020,453,812,49,Masonry,Shingle + Asphalt,5,2,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,1,1,Stock Plan,No,0,,0.759,Single-Family,2 Story,142.583,0.018640955,2020,9
North Chicago,9/3/2020,2450,3200,12,Masonry,Tar + Gravel,12,6,Full,Formal Rec Room,Warm Air Furnace,Central A/C,4,None,7,3,Stock Plan,No,2.5,Masonry,3.983,Single-Family,3 Story +,132.222,0.073461892,2020,9
North Chicago,9/4/2020,610,1680,55,Masonry,Tar + Gravel,7,4,Full,Unfinished,Hot Water Steam,No Central A/C,1,None,2,1,Stock Plan,,0,,1.908,Single-Family,2 Story,83.806,0.038567493,2020,9
North Chicago,9/8/2020,1440,3250,9,Frame,Shingle + Asphalt,10,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,0,Stock Plan,No,2,Frame,2.732,Single-Family,2 Story,132.222,0.074609734,2020,9
North Chicago,9/9/2020,434.9,544,51,Masonry,Tar + Gravel,6,2,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,1,0,Stock Plan,No,0,,0.868,Single-Family,2 Story,162.054,0.012488522,2020,9
North Chicago,9/11/2020,1840,2500,3,Masonry,Tar + Gravel,11,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,0,None,4,2,Stock Plan,No,2,Masonry,3.22,Single-Family,3 Story +,148.616,0.057392103,2020,9
North Chicago,9/14/2020,1400,2020,31,Masonry,Shingle + Asphalt,7,2,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,,2,Masonry,2.446,Single-Family,3 Story +,148.616,0.046372819,2020,9
North Chicago,9/16/2020,399.724,1291,48,Masonry,Tar + Gravel,5,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,1.092,Single-Family,2 Story,112.788,0.029637282,2020,9
North Chicago,9/18/2020,1223,2744,31,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,2,None,3,1,Architect,,2,Frame,3.618,Single-Family,3 Story +,132.222,0.062993572,2020,9
North Chicago,9/21/2020,820,1066,23,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,2,Stock Plan,No,2,Frame,2.641,Single-Family,3 Story +,36.927,0.024471993,2020,9
North Chicago,9/23/2020,667.875,2008,35,Masonry,Shingle + Asphalt,6,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,,1,Frame,1.484,Single-Family,2 Story,141.806,0.046097337,2020,9
North Chicago,9/25/2020,1700,2550,21,Masonry,Tar + Gravel,8,4,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,2.89,Single-Family,3 Story +,122.479,0.058539945,2020,9
North Chicago,9/25/2020,2500,3125,17,Masonry,Shingle + Asphalt,9,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,3,None,5,1,Stock Plan,No,2,Masonry,3.798,Single-Family,3 Story +,119.432,0.071740129,2020,9
North Chicago,9/30/2020,1215,1482,24,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,2.799,Single-Family,3 Story +,121.318,0.034022039,2020,9
North Chicago,9/30/2020,1659,3401,45,Masonry,Tar + Gravel,10,4,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,3,2,Architect,No,2,Masonry,4.709,Single-Family,2 Story,112.788,0.078076217,2020,9
North Chicago,10/8/2020,975,1470,21,Masonry,Shingle + Asphalt,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,2,Stock Plan,No,2,Masonry,2.113,Single-Family,3 Story +,122.479,0.033746556,2020,10
North Chicago,10/11/2020,1000,1120,33,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,Partial,2,1,Architect,,1,Frame + Masonry,2.503,Single-Family,3 Story +,60.566,0.025711662,2020,10
North Chicago,10/13/2020,1400,3000,30,Masonry,Shingle + Asphalt,10,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,4,None,4,0,Stock Plan,No,2,Masonry,3.62,Single-Family,3 Story +,148.616,0.068870523,2020,10
North Chicago,10/14/2020,905,1314,21,Masonry,Shingle + Asphalt,5,2,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,1,Masonry,1.44,Single-Family,2 Story,122.479,0.030165289,2020,10
North Chicago,10/18/2020,5900,3349,3,Masonry,Tar + Gravel,14,6,Full,Formal Rec Room,Warm Air Furnace,Central A/C,3,None,6,2,Stock Plan,No,0,,4.29,Single-Family,3 Story +,111.372,0.076882461,2020,10
North Chicago,10/19/2020,510,799,33,Frame + Masonry,Tar + Gravel,4,1,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,,1,Masonry,1.28,Single-Family,3 Story +,148.616,0.018342516,2020,10
North Chicago,10/20/2020,800.05,1067,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.692,Single-Family,3 Story +,99.44,0.024494949,2020,10
North Chicago,10/21/2020,618,811,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,1,Masonry,1.456,Single-Family,3 Story +,99.44,0.018617998,2020,10
North Chicago,10/21/2020,1725,1575,17,Masonry,Tar + Gravel,8,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,3,1,Stock Plan,No,2.5,Masonry,4.008,Single-Family,3 Story +,158.375,0.036157025,2020,10
North Chicago,10/21/2020,3675,4500,38,Stucco,Tar + Gravel,13,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,2,Stock Plan,No,3,Frame,3.952,Single-Family,3 Story +,94.598,0.103305785,2020,10
North Chicago,10/22/2020,400,798,33,Frame + Masonry,Tar + Gravel,4,1,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,,1,Masonry,1.28,Single-Family,3 Story +,148.616,0.018319559,2020,10
North Chicago,10/22/2020,1100,1265,24,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,,2,Masonry,2.799,Single-Family,3 Story +,121.318,0.029040404,2020,10
North Chicago,10/22/2020,2755,2290,6,Masonry,Tar + Gravel,9,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,3,1,Stock Plan,Yes,2.5,Masonry,4.089,Single-Family,3 Story +,141.806,0.052571166,2020,10
North Chicago,10/24/2020,990,3531,24,Masonry,Shingle + Asphalt,7,3,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Frame,2.105,Single-Family,2 Story,122.479,0.081060606,2020,10
North Chicago,10/24/2020,1050,3672,24,Frame + Masonry,Shingle + Asphalt,8,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,2,Frame,2.136,Single-Family,2 Story,122.479,0.084297521,2020,10
North Chicago,10/24/2020,2700,2880,21,Masonry,Shingle + Asphalt,9,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,4,1,Stock Plan,No,3,Masonry,4.23,Single-Family,3 Story +,162.054,0.066115702,2020,10
North Chicago,10/25/2020,731.5,1247,6,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,3,1,Stock Plan,No,2,Masonry,2.134,Single-Family,2 Story,58.542,0.028627181,2020,10
North Chicago,10/25/2020,900,1073,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.692,Single-Family,3 Story +,99.44,0.024632691,2020,10
North Chicago,10/25/2020,3100,3100,15,Masonry,Tar + Gravel,9,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,2,None,3,1,Stock Plan,No,2.5,Masonry,4.063,Single-Family,3 Story +,138.934,0.071166208,2020,10
North Chicago,10/27/2020,1020,1584,32,Frame,Shingle + Asphalt,12,6,Partial,Unfinished,Warm Air Furnace,Central A/C,2,None,2,1,Stock Plan,No,1,Frame,1.868,Single-Family,2 Story,148.616,0.036363636,2020,10
North Chicago,10/30/2020,1010,2928,21,Masonry,Tar + Gravel,10,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,3,None,3,1,Stock Plan,No,2,Masonry,3.478,Single-Family,3 Story +,36.927,0.067217631,2020,10
North Chicago,10/31/2020,370,959,48,Masonry,Tar + Gravel,4,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,0.864,Single-Family,2 Story,112.788,0.022015611,2020,10
North Chicago,10/31/2020,1010,2825,24,Frame,Shingle + Asphalt,8,4,Full,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Frame,2.126,Single-Family,2 Story,122.479,0.064853076,2020,10
North Chicago,11/1/2020,855,3100,24,Frame,Shingle + Asphalt,7,3,Partial,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,,2,Frame,2.236,Single-Family,2 Story,36.927,0.071166208,2020,11
North Chicago,11/1/2020,999,2773,17,Masonry,Shingle + Asphalt,8,4,Full,Unfinished,Warm Air Furnace,Central A/C,0,None,2,1,Stock Plan,No,2,Frame,2.516,Single-Family,2 Story,122.479,0.06365932,2020,11
North Chicago,11/2/2020,4400,2600,6,Masonry,Tar + Gravel,9,5,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,5,2,Stock Plan,No,2,Masonry,4.384,Single-Family,2 Story,133.079,0.059687787,2020,11
North Chicago,11/5/2020,402.5,736,48,Masonry,Tar + Gravel,4,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,1,None,1,0,Stock Plan,No,0,,0.864,Single-Family,2 Story,112.788,0.016896235,2020,11
North Chicago,11/5/2020,1745,2500,18,Masonry,Shingle + Asphalt,10,3,Full,Formal Rec Room,Warm Air Furnace,Central A/C,3,None,4,1,Stock Plan,Yes,2,Masonry,2.775,Single-Family,3 Story +,148.616,0.057392103,2020,11
North Chicago,11/7/2020,620,836,15,Masonry,Tar + Gravel,7,3,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,1,Stock Plan,No,2,Masonry,1.456,Single-Family,3 Story +,99.44,0.019191919,2020,11
North Chicago,11/8/2020,584,630,27,Masonry,Tar + Gravel,6,2,Slab,Unfinished,Warm Air Furnace,Central A/C,0,None,2,0,Stock Plan,No,1,Masonry,1.603,Single-Family,3 Story +,148.616,0.01446281,2020,11
North Chicago,11/8/2020,1362.5,1820,30,Masonry,Tar + Gravel,6,2,Partial,Unfinished,Warm Air Furnace,Central A/C,2,None,2,1,Stock Plan,Yes,1,Stucco,1.774,Single-Family,3 Story +,141.806,0.041781451,2020,11
North Chicago,11/8/2020,3000,3653,17,Masonry,Tar + Gravel,13,5,Full,Unfinished,Warm Air Furnace,Central A/C,2,Full,5,2,Stock Plan,No,3,Masonry,8.306,Single-Family,3 Story +,128.243,0.083861341,2020,11
North Chicago,11/9/2020,405,1109,48,Masonry,Tar + Gravel,4,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,0.987,Single-Family,2 Story,112.788,0.025459137,2020,11
North Chicago,11/10/2020,1180,2711,33,Masonry,Tar + Gravel,8,4,Slab,Unfinished,Warm Air Furnace,Central A/C,2,None,2,1,Stock Plan,No,2,Frame,3.009,Single-Family,3 Story +,148.616,0.062235996,2020,11
North Chicago,11/11/2020,500,1292,48,Masonry,Tar + Gravel,4,2,Crawl,Unfinished,Warm Air Furnace,Central A/C,0,None,1,0,Stock Plan,No,0,,0.987,Single-Family,2 Story,109.191,0.029660239,2020,11
North Chicago,11/11/2020,1150,2500,27,Masonry,Shingle + Asphalt,7,3,Full,Unfinished,Warm Air Furnace,Central A/C,2,Partial,3,1,Stock Plan,Yes,2.5,Masonry,3.095,Single-Family,3 Story +,148.616,0.057392103,2020,11
North Chicago,11/12/2020,415,692,49,Masonry,Tar + Gravel,5,2,Slab,Unfinished,Warm Air Furnace,No Central A/C,1,None,1,1,Stock Plan,,0,,1.386,Single-Family,2 Story,142.583,0.015886134,2020,11
North Chicago,11/12/2020,2150,2676,15,Masonry,Tar + Gravel,11,5,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,4,1,Stock Plan,No,2,Masonry,6.404,Single-Family,3 Story +,128.243,0.061432507,2020,11
North Chicago,11/13/2020,2800,3653,15,Masonry,Tar + Gravel,9,5,Full,Unfinished,Warm Air Furnace,Central A/C,3,None,5,0,Stock Plan,No,3,Masonry,5.04,Single-Family,3 Story +,128.243,0.083861341,2020,11
North Chicago,11/15/2020,497,1157,21,Masonry,Shingle + Asphalt,5,2,Slab,Unfinished,Warm Air Furnace,Central A/C,1,None,2,0,Stock Plan,No,1,Masonry,1.422,Single-Family,3 Story +,99.44,0.026561065,2020,11
North Chicago,11/15/2020,2737.5,2928,9,Masonry,Shingle + Asphalt,8,4,Full,Formal Rec Room,Warm Air Furnace,Central A/C,1,None,2,2,Stock Plan,No,2,Masonry,4.483,Single-Family,3 Story +,162.054,0.067217631,2020,11
